experiment,run,avg_fps,avg_ft_ms,min_ft_ms,max_ft_ms,avg_cpu_pct,avg_gpu_pct,avg_dc,avg_culled
0.Baseline (all OFF),1,346.19,3.02163,1.2207,7.32422,8.30945,67.5553,5279,0
0.Baseline (all OFF),2,334.156,3.09636,0.976562,7.56836,7.97959,92.0535,5280,0
0.Baseline (all OFF),3,330.599,3.15477,1.46484,7.32422,7.26104,56.9993,5280,0
0.Baseline (all OFF),4,326.696,3.18134,1.2207,8.05664,8.02826,55.7567,5280,0
0.Baseline (all OFF),5,325.647,3.20077,1.2207,8.05664,7.87253,55.9287,5280,0
1.Frustum Culling,1,451.536,4.11945,0.488281,4210.21,9.67464,56.1115,2277,3002
1.Frustum Culling,2,726.366,5.2089,0.244141,55414.3,10.8366,45.732,1425,3854
1.Frustum Culling,3,698.139,2.00234,0.244141,7.56836,8.84773,44.0002,1391,3888
1.Frustum Culling,4,372.382,2.80171,0.976562,17.334,9.37004,50.0604,2551,2728
1.Frustum Culling,5,731.672,5.41418,0.244141,59917,10.6187,45.7447,1427,3852
2.LOD,1,612.296,1.80282,0.488281,5.12695,10.6006,66.7163,5279,0
2.LOD,2,555.041,1.9055,0.732422,5.85938,10.1695,71.2268,5280,0
2.LOD,3,625.745,1.80278,0.488281,4.39453,11.6014,91.1056,5280,0
2.LOD,4,586.37,1.8661,0.488281,5.37109,10.6728,70.2078,5280,0
2.LOD,5,565.691,1.89968,0.488281,6.34766,10.2976,57.273,5280,0
3.GPU Instancing,1,322.322,3.22538,1.2207,6.83594,11.0011,88.9823,5280,0
3.GPU Instancing,2,320.093,3.23613,1.46484,8.54492,10.2596,65.7019,5280,0
3.GPU Instancing,3,319.859,3.24033,0.732422,9.0332,8.80627,66.6121,5280,0
3.GPU Instancing,4,320.302,3.24122,1.46484,7.08008,10.9889,80.7079,5280,0
3.GPU Instancing,5,320.09,3.2436,1.2207,7.32422,10.0647,56.5471,5280,0
4.Backface Culling,1,318.625,3.25776,1.2207,8.30078,9.2578,54.2056,5280,0
4.Backface Culling,2,318.673,3.26657,0.976562,8.05664,10.5237,64.9811,5280,0
4.Backface Culling,3,318.81,3.24865,0.976562,6.83594,10.0925,84.1211,5280,0
4.Backface Culling,4,318.874,3.25038,1.2207,8.05664,9.62443,69.0829,5280,0
4.Backface Culling,5,317.632,3.25509,1.2207,7.08008,10.5331,56.0097,5280,0
5.Depth Sort,1,342.137,3.01486,1.46484,8.05664,11.1657,53.7498,5280,0
5.Depth Sort,2,344.491,2.97929,1.95312,7.56836,10.283,52.3373,5280,0
5.Depth Sort,3,346.29,2.95456,1.95312,8.05664,11.6449,55.1671,5280,0
5.Depth Sort,4,343.644,2.98882,1.95312,7.56836,11.3139,53.4401,5280,0
5.Depth Sort,5,343.024,2.98852,1.95312,7.32422,10.8908,53.7204,5280,0
6.Occlusion Culling,1,336.844,3.0434,1.70898,8.05664,12.7739,53.3057,5012,267
6.Occlusion Culling,2,339.278,3.02281,1.46484,7.08008,11.1072,55.6824,5012,267
6.Occlusion Culling,3,335.486,3.05693,1.95312,8.05664,10.6902,54.8075,5012,267
6.Occlusion Culling,4,337.647,3.03544,1.46484,8.30078,11.4205,56.2101,5012,267
6.Occlusion Culling,5,338.83,3.03741,1.46484,7.8125,11.1964,66.1787,5012,267
7.View Dist Cull,1,864.216,1.36558,0.244141,3.41797,9.6685,77.5711,488,4791
7.View Dist Cull,2,854.2,1.38358,0.244141,3.41797,10.0405,74.2458,488,4791
7.View Dist Cull,3,857.391,1.3769,0.244141,3.90625,10.1545,40.2428,489,4790
7.View Dist Cull,4,857.566,1.37913,0.244141,3.41797,8.97776,65.3956,489,4790
7.View Dist Cull,5,858.317,1.38402,0.244141,3.41797,10.1777,52.4658,490,4789
8.Small Obj Cull,1,317.46,3.2954,1.2207,8.54492,10.4125,76.2887,5279,0
8.Small Obj Cull,2,314.703,3.29627,0.976562,7.8125,9.04667,65.6547,5280,0
8.Small Obj Cull,3,315.262,3.29829,1.2207,8.30078,11.0298,60.2396,5280,0
8.Small Obj Cull,4,314.097,3.29631,1.2207,7.08008,10.2486,79.375,5280,0
8.Small Obj Cull,5,314.24,3.2973,1.2207,8.30078,9.17369,57.885,5280,0
9.Deferred Shading,1,278.363,3.77666,1.46484,9.76562,9.61027,81.3448,5280,0
9.Deferred Shading,2,279.472,3.75153,0.976562,7.8125,10.877,79.8344,5280,0
9.Deferred Shading,3,274.684,3.81854,0.976562,10.7422,9.83942,57.5423,5280,0
9.Deferred Shading,4,273.702,3.84926,1.46484,9.76562,9.37798,89.3313,5280,0
9.Deferred Shading,5,280.61,3.73005,1.46484,8.78906,9.53611,57.2,5280,0

# --- 실험별 평균 요약 (5회 평균) ---
experiment,avg_fps,avg_ft_ms,fps_vs_baseline_pct
0.Baseline (all OFF),332.658,3.13097,0
1.Frustum Culling,596.019,3.90932,79.169
2.LOD,589.029,1.85538,77.0675
3.GPU Instancing,320.533,3.23733,-3.64472
4.Backface Culling,318.523,3.25569,-4.24907
5.Depth Sort,343.917,2.98521,3.38475
6.Occlusion Culling,337.617,3.0392,1.49086
7.View Dist Cull,858.338,1.37784,158.024
8.Small Obj Cull,315.152,3.29671,-5.26224
9.Deferred Shading,277.366,3.78521,-16.6211
# replay: replays/replay_040.replay
# stress_level: 4  objects: 5280
